MD;GR;DRX
5383.40;43.11;
5383.55;46.21;
5383.70;44.80;
5383.85;39.81;
5384.01;33.86;
5384.16;30.16;
5384.31;30.29;
5384.46;33.18;
5384.62;34.99;
5384.77;32.92;
5384.92;31.24;
5385.07;32.72;
5385.23;37.71;
5385.38;40.14;
5385.53;38.25;
5385.68;36.54;
5385.84;36.80;
5385.99;40.98;
5386.14;45.94;
5386.29;50.80;
5386.44;51.15;
5386.60;52.85;
5386.75;59.32;
5386.90;67.56;
5387.05;63.01;
5387.21;51.68;
5387.36;39.75;
5387.51;35.44;
5387.66;31.00;
5387.82;28.33;
5387.97;31.84;
5388.12;45.23;
5388.27;59.35;
5388.43;64.06;
5388.58;57.45;
5388.73;46.63;
5388.88;38.58;
5389.04;32.05;
5389.19;28.43;
5389.34;28.11;
5389.49;29.31;
5389.65;30.32;
5389.80;31.00;
5389.95;31.72;
5390.10;33.61;
5390.25;37.56;
5390.41;39.43;
5390.56;38.70;
5390.71;34.58;
5390.86;35.31;
5391.02;39.84;
5391.17;46.00;
5391.32;47.95;
5391.47;43.70;
5391.63;35.88;
5391.78;29.46;
5391.93;27.80;
5392.08;27.73;
5392.24;29.05;
5392.39;29.17;
5392.54;30.83;
5392.69;31.46;
5392.85;35.76;
5393.00;42.69;
5393.15;49.83;
5393.30;54.52;
5393.46;49.79;
5393.61;43.04;
5393.76;37.09;
5393.91;36.76;
5394.06;36.12;
5394.22;33.94;
5394.37;32.35;
5394.52;36.34;
5394.67;40.74;
5394.83;45.67;
5394.98;43.58;21.5
5395.13;39.84;
5395.28;35.21;
5395.44;33.10;
5395.59;33.87;
5395.74;35.82;
5395.89;39.99;
5396.05;43.33;
5396.20;48.92;
5396.35;52.92;
5396.50;56.81;
5396.66;59.90;
5396.81;63.07;
5396.96;64.28;
5397.11;64.09;
5397.27;61.75;
5397.42;58.71;
5397.57;53.33;
5397.72;49.20;
5397.87;51.15;
5398.03;57.67;
5398.18;65.75;
5398.33;66.21;
5398.48;57.82;
5398.64;45.17;
5398.79;37.36;
5398.94;41.17;
5399.09;51.61;
5399.25;57.70;
5399.40;56.44;
5399.55;51.13;
5399.70;49.27;
5399.86;52.42;
5400.01;56.82;11.5
5400.16;58.07;
5400.31;54.95;
5400.47;49.53;
5400.62;48.74;
5400.77;46.82;
5400.92;46.22;
5401.08;45.14;
5401.23;45.72;
5401.38;48.86;
5401.53;48.97;
5401.68;49.46;
5401.84;49.07;
5401.99;48.12;
5402.14;45.59;
5402.29;40.33;
5402.45;36.27;
5402.60;33.75;
5402.75;33.70;
5402.90;39.33;
5403.06;45.36;
5403.21;50.89;
5403.36;52.59;
5403.51;54.73;
5403.67;57.99;
5403.82;60.02;
5403.97;58.81;
5404.12;53.85;
5404.28;49.80;
5404.43;50.54;
5404.58;52.13;
5404.73;52.33;
5404.89;47.86;
5405.04;43.78;
5405.19;40.73;
5405.34;39.31;
5405.49;40.61;
5405.65;41.86;
5405.80;46.18;
5405.95;48.48;
5406.10;48.01;
5406.26;45.04;
5406.41;44.43;
5406.56;45.52;
5406.71;47.60;
5406.87;46.27;
5407.02;43.50;
5407.17;37.83;
5407.32;34.46;
5407.48;32.79;
5407.63;34.28;
5407.78;35.85;
5407.93;38.73;
5408.09;44.72;
5408.24;52.04;
5408.39;56.71;
5408.54;54.09;
5408.70;47.01;
5408.85;41.94;
5409.00;43.22;
5409.15;49.38;
5409.30;54.65;
5409.46;56.64;
5409.61;53.68;
5409.76;52.74;
5409.91;60.02;
5410.07;67.71;27.4
5410.22;70.52;
5410.37;62.05;
5410.52;57.04;
5410.68;52.26;
5410.83;52.69;
5410.98;58.16;
5411.13;69.09;
5411.29;76.98;
5411.44;70.16;
5411.59;56.09;
5411.74;40.56;
5411.90;32.11;
5412.05;29.06;
5412.20;29.29;
5412.35;33.73;
5412.51;38.96;
5412.66;43.28;
5412.81;42.49;
5412.96;38.35;
5413.11;33.89;
5413.27;32.35;
5413.42;35.85;
5413.57;39.03;
5413.72;40.60;
5413.88;38.68;
5414.03;33.68;
5414.18;28.87;
5414.33;23.65;
5414.49;23.16;
5414.64;27.18;
5414.79;37.67;
5414.94;51.86;
5415.10;61.28;
5415.25;62.01;
5415.40;60.54;
5415.55;59.16;
5415.71;59.52;
5415.86;54.37;
5416.01;47.16;
5416.16;43.36;
5416.32;42.96;
5416.47;44.88;
5416.62;46.75;
5416.77;46.79;
5416.92;42.54;
5417.08;39.16;
5417.23;37.17;
5417.38;44.72;
5417.53;51.65;
5417.69;56.91;
5417.84;55.90;
5417.99;55.08;
5418.14;55.70;
5418.30;55.95;
5418.45;52.47;
5418.60;45.11;
5418.75;37.08;
5418.91;33.77;
5419.06;37.60;
5419.21;41.25;
5419.36;40.12;
5419.52;35.65;
5419.67;34.75;
5419.82;36.42;
5419.97;38.14;13.4
5420.13;37.98;
5420.28;37.19;
5420.43;33.82;
5420.58;31.56;
5420.73;28.78;
5420.89;29.59;
5421.04;30.62;
5421.19;29.94;
5421.34;29.77;
5421.50;30.84;
5421.65;36.78;
5421.80;42.80;
5421.95;42.93;
5422.11;38.15;
5422.26;31.31;
5422.41;28.65;
5422.56;28.34;
5422.72;29.53;
5422.87;30.72;
5423.02;33.45;
5423.17;38.33;
5423.33;43.24;
5423.48;45.07;
5423.63;42.20;
5423.78;39.73;
5423.94;37.78;
5424.09;36.87;
5424.24;34.30;
5424.39;32.31;
5424.54;30.99;
5424.70;30.62;
5424.85;30.65;
5425.00;30.72;
5425.15;30.05;
5425.31;29.73;
5425.46;28.50;
5425.61;28.66;
5425.76;27.84;
5425.92;26.58;
5426.07;24.94;
5426.22;27.01;
5426.37;29.09;
5426.53;30.48;
5426.68;25.66;
5426.83;20.69;
5426.98;15.72;
5427.14;14.27;
5427.29;14.10;
5427.44;14.93;
5427.59;15.27;
5427.75;15.70;
5427.90;15.51;
5428.05;14.68;
5428.20;14.05;
5428.35;13.88;
5428.51;13.98;
5428.66;13.80;
5428.81;13.60;
5428.96;14.26;
5429.12;15.47;
5429.27;17.06;
5429.42;17.48;
5429.57;18.42;
5429.73;22.50;
5429.88;27.39;
5430.03;29.94;11.1
5430.18;28.26;
5430.34;26.91;
5430.49;27.04;
5430.64;26.91;
5430.79;25.16;
5430.95;22.80;
5431.10;22.23;
5431.25;24.83;
5431.40;27.72;
5431.56;31.56;
5431.71;34.76;
5431.86;37.20;
5432.01;35.38;
5432.16;31.64;
5432.32;28.48;
5432.47;28.23;
5432.62;32.13;
5432.77;39.48;
5432.93;49.14;
5433.08;53.36;
5433.23;53.71;
5433.38;48.54;
5433.54;43.77;
5433.69;37.48;
5433.84;34.02;
5433.99;30.68;
5434.15;29.35;
5434.30;27.21;
5434.45;25.94;
5434.60;24.10;
5434.76;22.89;
5434.91;21.69;
5435.06;21.20;
5435.21;20.35;
5435.37;19.29;
5435.52;18.93;
5435.67;18.79;
5435.82;19.72;
5435.97;21.40;
5436.13;23.05;
5436.28;23.70;
5436.43;23.13;
5436.58;22.41;
5436.74;21.29;
5436.89;19.20;
5437.04;17.04;
5437.19;15.93;
5437.35;15.14;
5437.50;14.89;
5437.65;15.05;
5437.80;15.22;
5437.96;14.95;
5438.11;14.10;
5438.26;13.42;
5438.41;13.29;
5438.57;13.68;
5438.72;15.11;
5438.87;16.68;
5439.02;17.49;
5439.18;17.86;
5439.33;17.04;
5439.48;16.93;
5439.63;16.12;
5439.78;15.90;
5439.94;15.48;
5440.09;17.04;
5440.24;18.11;
5440.39;19.03;
5440.55;18.85;
5440.70;20.25;
5440.85;22.05;
5441.00;22.84;
5441.16;23.66;
5441.31;22.72;
5441.46;21.21;
5441.61;19.59;
5441.77;20.15;
5441.92;23.00;
5442.07;25.32;
5442.22;27.08;
5442.38;26.41;
5442.53;24.99;
5442.68;22.80;
5442.83;23.34;
5442.99;24.46;
5443.14;24.60;
5443.29;23.28;
5443.44;22.13;
5443.59;21.54;
5443.75;22.40;
5443.90;21.18;
5444.05;20.94;
5444.20;18.98;
5444.36;18.57;
5444.51;18.32;
5444.66;18.46;
5444.81;16.88;
5444.97;16.20;
5445.12;15.11;
5445.27;16.69;
5445.42;18.30;
5445.58;22.06;
5445.73;24.09;
5445.88;26.71;
5446.03;26.33;
5446.19;26.92;
5446.34;25.29;
5446.49;24.78;
5446.64;26.46;
5446.80;29.50;
5446.95;30.97;
5447.10;31.06;
5447.25;30.13;
5447.40;31.04;
5447.56;31.30;
5447.71;31.89;
5447.86;30.76;
5448.01;29.45;
5448.17;27.17;
5448.32;27.05;
5448.47;26.22;
5448.62;25.82;
5448.78;25.74;
5448.93;25.47;
5449.08;26.73;
5449.23;31.42;
5449.39;35.50;
5449.54;35.82;
5449.69;32.88;
5449.84;34.49;
5450.00;39.76;
5450.15;40.19;
5450.30;35.52;
5450.45;29.10;
5450.61;25.89;
5450.76;25.68;
5450.91;28.10;
5451.06;30.68;
5451.21;31.61;
5451.37;32.85;
5451.52;34.05;
5451.67;34.35;
5451.82;29.60;
5451.98;26.19;
5452.13;24.86;
5452.28;27.78;
5452.43;27.73;
5452.59;24.63;
5452.74;20.49;
5452.89;20.10;
5453.04;25.45;
5453.20;31.45;
5453.35;36.35;
5453.50;36.62;
5453.65;37.85;
5453.81;39.57;
5453.96;44.54;
5454.11;43.45;
5454.26;40.06;
5454.42;37.69;
5454.57;40.65;
5454.72;41.71;
5454.87;36.74;
5455.02;29.63;
5455.18;25.04;
5455.33;24.08;
5455.48;24.76;
5455.63;28.37;
5455.79;33.20;
5455.94;38.03;
5456.09;41.86;
5456.24;44.15;
5456.40;44.28;
5456.55;41.58;
5456.70;38.56;
5456.85;37.37;
5457.01;36.51;
5457.16;38.74;
5457.31;43.41;
5457.46;49.72;
5457.62;52.07;
5457.77;45.95;
5457.92;40.00;
5458.07;34.64;
5458.23;30.68;
5458.38;24.76;
5458.53;21.03;
5458.68;22.07;
5458.83;22.77;
5458.99;21.14;
5459.14;20.49;
5459.29;19.93;
5459.44;19.65;
5459.60;17.84;
5459.75;16.48;
5459.90;16.09;
5460.05;17.17;
5460.21;18.41;
5460.36;18.38;
5460.51;18.53;
5460.66;18.95;
5460.82;19.87;
5460.97;18.51;
5461.12;16.50;
5461.27;15.17;
5461.43;14.95;
5461.58;15.03;
5461.73;14.92;
5461.88;14.85;
5462.04;15.88;
5462.19;17.91;
